shelter,number,lat,lon
"charles morgan shelter",6,None,None
"hiawassee, georgia",65,None,None
"neels gap (walasi center hostel)",4,None,None
"schaghticoke rd/bulls bridge rd (tented)",14,None,None
"tray gap",20,None,None
"iron master's mansion (pine grove)",2,None,None
"trout creek",107,None,None
"near the saco river",2,None,None
"trent's grocery - va 606 (605.5)",1,None,None
"portland, or",5,None,None
"ishmael's house",8,None,None
"harpers ferry,va.",3,None,None
"atn magazine",2,None,None
"deerpark",2,None,None
"gwendy's chair",24,None,None
"piney river north campsite",12,None,None
"piscataguis river",242,None,None
"cobman ridge motel",4,None,None
"big rock spring (dry)",7,None,None
"roan mountain town",4,None,None
"david wayne's house, boonesboro",3,None,None
"summit of big bald",26,None,None
"sky land",3,None,None
"va 610",27,None,None
"mahoosuc notch trail",63,None,None
"erwin, tenn.",34,None,None
"hanover panarchy basement (hostel)",4,None,None
"whitehall inn, salisbury, ct",12,None,None
"sobo spider and anxious",2,None,None
"1 mile before licklog gap",3,None,None
"campsite on little haystack mountain (tarp)",12,None,None
"little stony man cliffs",8,None,None
"brush mountain ridge",1,None,None
"pluggers house",52,None,None
"clearing with stand of pines in center",1,None,None
"1 miles shy of penn 225",4,None,None
"viewpoint campsite",8,None,None
"dalton, ma, 83 depot st",2,None,None
"rt 522 (front royal)",6,None,None
"watauqa lake shelter",8,None,None
"crawford notch campground / us302",36,None,None
"boiling springs",1325,None,None
"tom and nancy's - reunion",5,None,None
"old west point rd",10,None,None
"brown mountaion creek shelter",12,None,None
"me-26 (grafton notch)",6,None,None
"sailsbury",4,None,None
".7 mi short of slaughter gap",24,None,None
"lewis mt. campground",4,None,None
"south arm road (1420')",18,None,None
"dublin, va",3,None,None
"greasy gap campsite",20,None,None
"composts hostel in salsbury, ct",34,None,None
"culver gap",51,None,None
"martinsville speedway",1,None,None
"tinker creek",19,None,None
"cheaha state park, al (lodging: park's chapel)",2,None,None
"stealth site by finnerty pond",4,None,None
"my apartment",54,None,None
"the birdcage (dalton, mass)",1,None,None
"stealth camp 1 mile north of devil's tater patch",4,None,None
"giant's thumb",6,None,None
"north crocker mountain summit-campsite",23,None,None
"little wilson falls (tenting)",118,None,None
"base of carter mtn",3,None,None
"shirley-blanchard rd.",24,None,None
"wayak bald campsite",6,None,None
"harrisburg, pa.",47,None,None
"tom sealock spring",16,None,None
"sidney campsite",16,None,None
"vernon - hostel",6,None,None
"vogel state park",1,None,None
"unknown tent site",2,None,None
"jim & molley denton shelter",27,None,None
"luray,va (town)",6,None,None
"tenting by unnamed pond",8,None,None
"crocker campsite",14,None,None
"halifax, pa",2,None,None
"va606 & restaurant/campsite/resupply",6,None,None
"mt. harbor hostel",1,None,None
"stewart hollow brook leanto",3,None,None
"warrenton va",26,None,None
"harper's ferry (tent)",4,None,None
"rt. 20 - lee",1,None,None
"us hwy.76,dicks creek gap,ga.",16,None,None
"nc 28 fontana village",114,None,None
"day 12",64,None,None
"seley-woodworth shelter",4,None,None
"near liss gap",1,None,None
"rainbow springs campsite",349,None,None
"''pettus spring''",6,None,None
"bronxville ny",72,None,None
"stealth site along hwy 385 , 4 miles before carlet",3,None,None
"bearfence mt hut",26,None,None
"trail-bound (iii)",4,None,None
"near rattlesnake spring",26,None,None
"n. west dover rd",2,None,None
"nantahala mt. resort",2,None,None
"update: time to find out",8,None,None
"charlestown",4,None,None
"mount madison area",3,None,None
"waynesboro (quality inn)",32,None,None
"vt 103",122,None,None
"charlotte, north carolina",1,None,None
"chrystal mountain campsite, ma",2,None,None
"dockery lake trail, just past granny top mtn",1,None,None
"afsp",2,None,None
"life is busy making other plans",64,None,None
"micromotel inn",6,None,None
"vernon nj",250,None,None
"horton center",2,None,None
"tenting off of smart mtn.",2,None,None
"warwick turnpike & at,nj",87,None,None
"oxford, ohio",18,None,None
"state rd. #17",8,None,None
"west yellowstone",2,None,None
"just past jug end",4,None,None
"in hamburg, outside the lab...",2,None,None
"lewis mtn campground",74,None,None
"franklin. n.c.",16,None,None
"bryant shelter",9,None,None
"back to the trail!",3,None,None
"village square inn",2,None,None
"icewater spring",716,35.629756,-83.38628
"into the shenandoah",6,None,None
"16th & mission",1,None,None
"stealth site at a stream",26,None,None
"mother nature's clock",6,None,None
"kirkridge",570,40.93672,-75.1868
"still on south kinsman",14,None,None
"hall mt. lean-to, me.",4,None,None
"wilson creek",335,37.419368,-79.785831
"norfolk, virginia",54,None,None
"dahlgren oasis",2,None,None
"william brier memorial shelter",2,None,None
"zero in pearisburg",1,None,None
"campsite past grayson highlands",8,None,None
"tented at turn-off to sarver's cabin",2,None,None
"nh25/glencliff",4,None,None
"mountains!",14,None,None
"roaring brook campsite",1,None,None
"nc-tn",1,None,None
"pine grove furnace (ironmasters hostel)",2,None,None
"mile 124.8",2,None,None
"va. 603, fox creek",2,None,None
"rick & sandy's house",18,None,None
"trimpe shelter. 508.3 miles",2,None,None
"weaverville, nc",12,None,None
"n.y. hwy.17",6,None,None
"gatlinburg, nc",3,None,None
"gathlinberg, tn",2,None,None
"front royal – quality inn",2,None,None
"near us 15 and deer run campground",1,None,None
"fontant hilton shelter",2,None,None
"va 501",6,None,None
"restigouche river, 1 mile n. of two brooks, nb",2,None,None
"range view cabin",57,None,None
"little enchaned pond",1,None,None
"near sawmill run",16,None,None
"berea,ky",1,None,None
"the river weasel's in pennsylvania",2,None,None
"jerusalem rd, tyringham, mass",13,None,None
"campsite at long pond stream",4,None,None
"elmers sunny bank retreat",2,None,None
"a mile before cooper brook falls shelter",55,None,None
"ny - nj",1,None,None
"rt 15",2,None,None
"ore hill brook",8,None,None
"hartford, ct",62,None,None
"frankln nc",2,None,None
"brown shelter",8,None,None
"glastenbury mt - firetower",4,None,None
"...and we shall hike... and we will enjoy",8,None,None
"maryland!",1,None,None
"duncannon, pa",1510,None,None
"firetower cabin shelter",2,None,None
"fontana village resort inn",41,None,None
"knot maul",599,37.000724,-81.404647
"billy's island",1,None,None
"littleton, nh, inn",6,None,None
"the 12 tribes, rutland",9,None,None
"kent, conn.",102,None,None
"old orange tpke, ny",1,None,None
"north of rte. 325",4,None,None
"along robbinson brook",2,None,None
"white house landing,me",1682,None,None
"pearisburg (motel)",3,None,None
"moon in the pond organic farm",8,None,None
"keys gap,va",2,None,None
"manchest center vt 11 (bed & breakfast alpen-rose)",6,None,None
"3 mi n of sawarta gap",4,None,None
"harrissonburg",3,None,None
"ginny ii--the return of ginny. no pun intended.",3,None,None
"kinsman pond",381,44.13692,-71.732886
"nantahala river, wesser, nc",21,None,None
"harpers ferry wv koa",91,None,None
"campsite at rock spring top",6,None,None
"fox creek (campsite)",2,None,None
"motel restigouche",4,None,None
"greenwall shelter",117,43.44059,-72.92947
"blackrock mtn.",20,None,None
"mountain moma's kuntry store",30,None,None
"marshall's arm campground",2,None,None
"high top mtn. shelter",8,None,None
"walasi-yi-hostel",9,None,None
"east b hill road/andover, me",22,None,None
"cosby knob",548,35.728228,-83.18211
"hartman creek state park, wi",2,None,None
"steiner's house in dc",7,None,None
"shed at heaven hill farm",2,None,None
"thunder camp",6,None,None
"campsite in ravine mile 279.0",2,None,None
"bear mountain bridge, ny",77,None,None
"old route 55",8,None,None
"matthew's arm tentsite",1,None,None
"purple mountain",3,None,None
"pollock knob",13,None,None
"mtn springer",1,None,None
"fishkill ny (holiday inn)",2,None,None
"shaker campsite,ma..",89,None,None
"wesser, nc (nanthahala outdoor center)",4,None,None
"suches, then neels gap",6,None,None
"a wonderful life campground (va. 614)",17,None,None
"vt 100, sherborn killington motel",6,None,None
"white mts. new hampshire",2,None,None
"campsite after barley gap shelter",2,None,None
"mount logan summit, parc de la gaspesie, quebec",2,None,None
"jacob's brook",10,None,None
"elisa brook",3,None,None
"rainbow ledge campsite",52,None,None
"sunrise shelter",24,None,None
"rushing brook campground",24,None,None
"charlottesville,va",3,None,None
"east b hill road, the cabin hostel, e. andover, me",290,None,None
"still in dc",8,None,None
"wintergreen resort",28,None,None
"reading/port clinton",8,None,None
"tent spot after sanders shelter",4,None,None
"va 606 hollybrook camp",4,None,None
"pa on the horizon",1,None,None
"hardcore trail maintenance",12,None,None
"the x-mas tree",2,None,None
"stealth site @garfield pond",31,None,None
"mahar tote road",369,None,None
"james fry/tagg run",16,None,None
"little pond mtn",6,None,None
"campsite near middle moriah mtn.",1,None,None
"smithsburg md.",2,None,None
"hwy 19e near roan mountain, tn",2,None,None
"warwick road",3,None,None
"ensign cowell/hemlock hill",2,None,None
"slaughter gap?",2,None,None
"kincara hostel",5,None,None
"blood mt shelter",1,None,None
"cove creek shelter",4,None,None
"blue mnt. shelter",4,None,None
"tentsite north of three ridges overlook",26,None,None
"gravel spings hut",4,None,None
"nauhim shelter",3,None,None
"pigeon forge",7,None,None
"moxie pond rd., maine",10,None,None
"clouland shelter, vt",6,None,None
"neels gap walasi-yi-center",123,None,None
"goose pond stealth",14,None,None
"low water bridge",1,None,None
"laurel creek",664,37.358896,-80.420894
"wrytheville, va",2,None,None
"behind panorama restaurant",6,None,None
"old raoring fork shelter",4,None,None
"sams gap",107,None,None
"the wright place motel, glasgow va",41,None,None
"east b hill road (andover, ne)",2,None,None
"day 38: 6.9 miles to greasy creek gap",1,None,None
"blueberry hostel",1,None,None
"maria mcgabe's house - salisbury, ct",2,None,None
"russle field shelter",4,None,None
"19 mile trail",2,None,None
"sugarloaf mtn (summit house)",1,None,None
"piazza rock campsite",14,None,None
"junkie’s house in md",24,None,None
"rest and resupply at jmu",32,None,None
"rip rap trail parking",19,None,None
"shea's",6,None,None
"neels gap/wasali-yi hostel",1,None,None
"dennytown rd campsite, ny, 8.7 miles",14,None,None
"nick & j'aimee's yurt",75,None,None
"condon shelter at at mile 1592.4",8,None,None
"tuxedo, ny (john & sue hayden's pad)",2,None,None
"raccoon shelter",3,None,None
"bland, va",640,None,None
"myron glaser cabin",10,None,None
"low gap",606,34.776154,-83.824601
"figerboard shelter",2,None,None
"parking area at hogan rd: completion of at-hike",6,None,None
"u.s. 7 near sheffield",4,None,None
"confessions",7,None,None
"nh. route 2, gorham",4,None,None
"jenny cabin shelter (tent)",4,None,None
"spruce spring shelter",2,None,None
"rainbow stream shelter",40,None,None
"where ever i can get to",1,None,None
"symms gap meadow",116,None,None
"gooch mt. shelter",24,None,None
"camp at abol bridge campground",72,None,None
"jailhouse hostel - palmerton, pa",2,None,None
"sugarloaf mountain summit, me",8,None,None
"cooper stream lean-to",130,None,None
"myspace blog",2,None,None
"marion, va",152,None,None
"podunk brook",32,None,None
"us 11, pa",16,None,None
"still trekin' toward vt",1,None,None
"my tarp",2,None,None
"bearface hut",21,None,None
"spaulding mtn.lean-to",18,None,None
"birch run shelters",378,39.98512,-77.41943
"white house landing, maine",16,None,None
"swatara or sweat are us?",4,None,None
"hagerstown,md",16,None,None
"susse chalet, williston, vt",24,None,None
"slaughter's gap - camping",8,None,None
"kincora hostel",1157,None,None
"roughnecks' hostel (route 183)",7,None,None
"john hollow shelter",60,None,None
"stealth camp, half a mile north of jerusalem rd",4,None,None
"post post",2,None,None
"baptist church hostel troutdale",27,None,None
"hogback gap",51,None,None
"tent site near doyle river area",2,None,None
"motel in north conway",112,None,None
"gren andersen shelter",2,None,None
"ny52, ny",2,None,None
"blackburn campsite",2,None,None
"mount cammerer fire lookout",12,None,None
"loft mt. campground",51,None,None
"mountaineers falls campsite",2,None,None
"mystery shelter",1,None,None
"tennessee and maine",7,None,None
"corbin cabin trail",1,None,None
"stealth site on chimney rocks",22,None,None
"blackburn hostel/shelter",17,None,None
"south of osgood tent site",94,None,None
"dennis cove, nc",6,None,None
"the cast is off and so am i",5,None,None
"montvale overlook/95.9",15,None,None
"dog day",1,None,None
"hotel in daleville",2,None,None
"sassafras shelter",58,None,None
"standing indian summit campsite",2,None,None
"still at the motel",4,None,None
"crocker cirque campsite side trail (2,710')",6,None,None
"somewhere, ma",22,None,None
"jim murray cabin area",12,None,None
"va603 (fox creek)",6,None,None
"pleasent pond mountain,me",4,None,None
"mccormic gap",6,None,None
"falls creek bridge (.7miles into pennsylvania)",6,None,None
"dicks creek gap, and hiawassee, ga",2,None,None
"siler bald",156,35.14411,-83.57258
"hemlocks lean-to massachusetts!",14,None,None
"ten mile hill",1,None,None
"va. 42-sinking creek valley",2,None,None
"nantahala gorge",2,None,None
"goldsmith rd. / secret shelter",78,None,None
"big bull mountain",3,None,None
"salt log gap,va",8,None,None
"somewhere a bit down the line",1,None,None
"vernon ct",36,None,None
"holiday inn, erwin",2,None,None
"churchhill scott",2,43.64491,-72.85389
"limestone shelter",1,None,None
"hwy 621 va",1,None,None
"waterlog gap",2,None,None
"us 58 @ summit cut",1,None,None
"cloud nine @ hiawassee",4,None,None
"across the bigelow range",6,None,None
"erwin holiday inn",3,None,None
"sugarloaf mtn summit house",50,None,None
"woods road campsite",30,None,None
"fariview lake clearing",4,None,None
"5 mi. wind gap",1,None,None
"stealth camp on liberty mt",2,None,None
"va 58 into damascus",4,None,None
"inspired",1,None,None
"wildcat shelter",594,41.26824,-74.26777
"hazel top mountain",12,None,None
"fire warden's cabin",217,43.825409,-72.037869
"day 157: 9.4 miles to crawford notch",3,None,None
"at village motel, adkins, va",11,None,None
"campsite near sassafrass gap",1,None,None
"site at 505 at miles",6,None,None
"us11 / atkins",6,None,None
"new york 17a warwick ny",20,None,None
"dalton , ma",2,None,None
"branchville, nj",65,None,None
"spring moutain shelter",2,None,None
"1 mile north of billy's view",10,None,None
"forest service road #42",6,None,None
"randolph",50,None,None
"gren shelter",2,None,None
"campsite near holly brook",2,None,None
"a-train's mom's house",2,None,None
"taking evasive action",6,None,None
"amicalola falls statr park",1,None,None
"fontana hlton",4,None,None
"scottish inns",16,None,None
"dundo group campground",16,None,None
"trail to glass hollow",2,None,None
"camp past jenkings shelter",4,None,None
"trail dayz!!!!!!!",2,None,None
"bridgewater, vt",15,None,None
"vernon n.j.",10,None,None
"5 miles past max patch",2,None,None
"dana hill, vt",8,None,None
"mollies field shelter",14,None,None
"painter branch campsite",44,None,None
"whiskey springs road",7,None,None
"garenflo gap (-)",8,None,None
"tn highway 91",1,None,None
"currituck lighthouse",1,None,None
"damacsus va",1,None,None
"dalhgren back pack campground",8,None,None
"pierce pond, me",6,None,None
"swan song shelter",8,None,None
"jo mary campground",4,None,None
"amicalola falls parking lot",1,None,None
"camping at beauty spot",2,None,None
"ny 9d",6,None,None
"rocky run",78,39.462144,-77.631068
"halvey mill",4,None,None
"helendorf hotel",4,None,None
"small joys",1,None,None
"hawks mountain shelter",4,None,None
"blackburn shelter",10,None,None
"michener cabin",4,None,None
"19e highway",2,None,None
"lone mountain shelter",4,None,None
"pine branch swamp shelter",4,None,None
"campsite near licklog gap",22,None,None
"campsite up the trail",4,None,None
"cowles cove shelter",24,None,None
"glen allen, va",65,None,None
".4 miles north of walnut mtn rd",6,None,None
"porter's field (just after seeley-woodworth)",8,None,None
"trailside camping by south arm road",12,None,None
"blue ridge swag",4,None,None
"october mt. leanto",2,None,None
"2nd peak after hightower gap",2,None,None
"the mahoosucs",1,None,None
"foxville rd, chip servis' place (1450')",2,None,None
"wateroak gap, nc",4,None,None
"devil’s race course shelter",2,None,None
"thoreau falls stealth",14,None,None
"safford notch campsite",753,None,None
"brown fox shelter",2,None,None
"bangor, maine",9,None,None
"sugar loaf summit house",22,None,None
"spece field shelter",2,None,None
"edmands col",5,None,None
"rocky mtn. shelter",48,None,None
"wolfville road maryland 17",12,None,None
"ore hill selter, nh",2,None,None
"plumborchard gap shelter",1,None,None
"me/vt border",3,None,None
"mp1265.8 pa",2,None,None
"campsite past cascade brook",6,None,None
"melville-nauheim shelter tenting",6,None,None
"upper goose cabin",28,None,None
"va 606 – campsite (va)",2,None,None
"the river weasel's birthday!",1,None,None
"mass route 23",16,None,None
"atkins/trail days",2,None,None
"bobblet's gap",105,37.46705,-79.70144
"quartz shelter",2,None,None
"base camp, , nc",1,None,None
"10-12 miles, wherever that puts me",1,None,None
"shamrock motel, dalton",24,None,None
"liteshoe base camp, southern pines, nc",14,None,None
"wayah gap (franklin)",2,None,None
"wilson's creek shelter",4,None,None
"campsite before mount mist",36,None,None
"campsite by keys gap",4,None,None
"roan knob shelter",22,None,None
"moxie bald mt lean-to",2,None,None
"blueberry patch!",4,None,None
"west hartford road",22,None,None
"avery memorial campsite",477,None,None
"ny 301",117,None,None
"pine grove furnace, ironmaster's hostel",3,None,None
"pine grove furnace,pa",63,None,None
"campsite past va 630",4,None,None
"barkbarkmoo camp",2,None,None
"neels gab",2,None,None
"morgan stewert shelter",28,None,None
"n.c. 28",8,None,None
"campsite near salt pond mountain",2,None,None
"lynchburg, va",75,None,None
"campsite past jones falls",6,None,None
"raush gap - stealth nearby blue blaze turnoff",4,None,None
"upper cold river rd",5,None,None
"my trail name “bumpo.”",1,None,None
"north carter summit",50,None,None
"vernon, new jersey",73,None,None
"me rt. 4 stratton",2,None,None
"2nd stream after hurds corner rd",2,None,None
"woody gap / suches ga",2,None,None
"rocks & water hostel",5,None,None
"bald plate lean-to",16,None,None
"priest, three ridges",4,None,None
"wanyesboro, va",3,None,None
"troutsdale va.",1,None,None
"bear mtn bridge ft montgomery ny",6,None,None
"camping near perham stream",50,None,None
"camping near little gap",10,None,None
"east stroudsburg",2,None,None
"seely/woodworth memorial shelter",4,None,None
"big wilson stream, me",66,None,None
"us 60 to cow gap",3,None,None
"stafford plantation",1,None,None
"randy & linda's place west hartford vt",9,None,None
"fickle as a pickle... :)",1,None,None
"route 225 peters mtn.",1,None,None
"camp before palmerton",2,None,None
"dalton, ma (1200')",6,None,None
"the barn at gorham< nh",4,None,None
"rph shelter",1175,41.51449,-73.79236
"utah, then los angeles",6,None,None
"small pond by the trail",2,None,None
"south arm road / the cabin / andover",36,None,None
"wm brien shelter",44,None,None
"peck’s corner shelter",14,None,None
"eventually new york city",38,None,None
"grunt work",6,None,None
"big walker mtn sawmill",4,None,None
"humback rocks picnic area",6,None,None
"va. 652",1,None,None
"us2, nh",4,None,None
"lion's head stealth",4,None,None
"near cornwall",20,None,None
"blackburn center hostel",2,None,None
"tucker/johnson shelter",10,None,None
"vt 11 / vt 30",16,None,None
"zero in pa",1,None,None
"abol bridge camp, maine",2,None,None
"n.o.c. (house)",4,None,None
"tennessee spring",2,None,None
"gorham, new hampshire",1047,None,None
"james fry (tagg run) shelter",24,None,None
"pen mar park (pa/md line)",1,None,None
"wayansboro, virginia",2,None,None
"martinsburg, wv",48,None,None
"blueberry patch @ hiawassee, ga",1,None,None
"iron mt gap",4,None,None
"campsite after max patch",2,None,None
"hob back ridge shelter",13,None,None
"camped short of garfield pond",58,None,None
"n.y. 301, canopus lake cg., n.y.",4,None,None
"somewhere on quimby mtn.",14,None,None
"west branch of the pleasant river",189,None,None
"va 602",4,None,None
"campsite around mile 572.0, va",14,None,None
"always unknown",1,None,None
"lake winnipesaukee, nh",37,None,None
"long falls dam rd., jerome brook",4,None,None
"fairfield, new jersey",2,None,None
"north woodstock (nh)",2,None,None
"pierce pond lean to",104,None,None
"rite spot motel - fayetteville, pa",4,None,None
"wintorri shelter",24,None,None
"keys gap, west virginia",4,None,None
"fontana bridge",2,None,None
"pine branch shelter (tent)",8,None,None
"morland gap shelter",10,None,None
"campsite at log cabin drive",6,None,None
"north of doyle river cabin",2,None,None
"north adams, ma",284,None,None
"long way dungan",2,None,None
"un-named campsite",17,None,None
"campsite near west mtn shelter",15,None,None
"fontana (rt. 28)",4,None,None
"silas bald shelter",11,None,None
"high-top hut",8,None,None
"campsite around mile 563.7, va",14,None,None
"swinging lick gap campsite",4,None,None
"barnardsville, nc",8,None,None
"shenandoah river bridge",8,None,None
"swift river pond cs",26,None,None
"carter notch (3390')",18,None,None
"plumb orchard gap",4,None,None
"key west, fl",1,None,None
"rangely,me",4,None,None
"justus creek campsite",46,None,None
"le pic de l'aigle (mont logan)",4,None,None
"new york (no, not the city...)",1,None,None
"jenkin shelter",1,None,None
"lake in the clouds amc hut",24,None,None
"hightop shelter (va)",4,None,None
"shaker tent site",2,None,None
"neels gap walasi-yi hostel 3,140",5,None,None
"housatonic river/0.5 mi. n. us 7",2,None,None
"smarts mountain tentsite",10,None,None
"ridge near whitleygap shelter",1,None,None
"in limbo",1,None,None
"tom levardi's; dalton, ma",4,None,None
"crawford notch campground 302",64,None,None
"doe's knob shelter",2,None,None
"grand loop road-yellowstone national park",3,None,None
"dennis cove road/kincora",4,None,None
"palmerton (mugshots)",4,None,None
"me. hwy.26, grafton notch",195,None,None
"damascus (via va600)",7,None,None
"bracket brook",14,None,None
"rough camp, baldplate mountain (west peak)",2,None,None
"white house landing wilderness camp",135,None,None
"hurd brook shelter, me",182,None,None
"mile 423.3",3,None,None
"up a creek without a paddle",4,None,None
"byron reese parking area near neels gap",2,None,None
"forded the kennebec river today/caratunk",2,None,None
"the porches inn, mass",2,None,None
"blackburn trail center",466,39.18765,-77.79803
"tent, new york hwy 17a",10,None,None
"les cabourons shelter",2,None,None
"near garenflo gap",3,None,None
"tri-corner shelter 219.4 miles",10,None,None
"mass 8, dalton",2,None,None
"rough camp, nr eddy pond lake, me",2,None,None
"jacobs ladder trail, nj",1,None,None
"walasi-yi (neels gap)",2,None,None
"bland horse stables",12,None,None
"the hut system",1,None,None
"never never land",3,None,None
"campsite near fs rt. 86 to campsite north of va 42",4,None,None
"newport center, vermont",38,None,None
"top of mountain past hightop gap",9,None,None
"pico mt",1,None,None
"day 167: 12.2 miles to mahoosuc notch",3,None,None
"pomraning house",2,None,None
"big meadows wayside",15,None,None
"bear rock stream campsite",26,None,None
"wards campsite",12,None,None
"2 days to atkins",2,None,None
"ironmasters mansion hostel",88,None,None
"ten mile shelter,ct",112,None,None
"terrapin station hostel, chester gap, va",4,None,None
"best western",355,None,None
"blacrock hut",16,None,None
"abol bridge campground, me",428,None,None
"nj rte 94",1,None,None
"rock gap",210,35.09148,-83.523148
"rt.3/north woodstock",6,None,None
"the ayce restaurants",1,None,None
"schaghticoles/bulls bridge shelter",6,None,None
"campsite 2.5 past lost mtn",2,None,None
"milam gap spring",2,None,None
"we will, we will rock you!",4,None,None
"snicker's gap",4,None,None
"the rockies",1,None,None
"hiker ginny",2,None,None
"silar bald shelter",61,None,None
"us route 30",72,None,None
"wallace gap-old us 64",2,None,None
"waynesboro ymca loft springs camping",4,None,None
"silver hill campsite",346,None,None
"ashton, ga.",1,None,None
"allen's gap",4,None,None
"sherman brook campsite (tarp)",74,None,None
"cheshire,ma",22,None,None
"speck pond spring",16,None,None
"stealth past big beaver pond",88,None,None
"smart's mountain fire tower",8,None,None
"clingman's done",5,None,None
"dear lick shelters",2,None,None
"1/2 way back from pochuck",14,None,None
"tellico gap, n.c.",16,None,None
"deer bed stealth site",6,None,None
"whats happenin now!",3,None,None
"hall mtn. shelter",12,None,None
"rock out cropping",18,None,None
"belters campsite",76,None,None
"lessons learned - thus far",8,None,None
"campsite at mile 395.9",6,None,None
"camp near stream on ridge",18,None,None
".4 mi. before tellico gap",2,None,None
"mt mousilake",6,None,None
"blood mountain",82,34.73991,-83.93752
"a spring on the trail",2,None,None
"almost time",1,None,None
"ct hwy 41",6,None,None
"graymoor friay",28,None,None
"snow and pack weights",1,None,None
"stealth...gordon pond",2,None,None
"river rd, ct (tented)",14,None,None
"rock quarry",2,None,None
"campsite in field",1,None,None
"glenncliff, nh",54,None,None
"minera hinchley shelter",4,None,None
"stealth near tyringham main road,ma",17,None,None
"medina",409,None,None
"griffith branch",28,None,None
"georgia/n carolina border",10,None,None
"john robert's apartment",1,None,None
"ridge b/w mooselocke & kinsman",1,None,None
"xxx",1,None,None
"kindsman pond campsite",16,None,None
"a few miles shy of plum orchid",2,None,None
"walisi-yu",3,None,None
"tc's cabin",5,None,None
"harmon hill,vt.",103,None,None
"ben's balcony",1,None,None
"tr-corner knob shelter",1,None,None
"me27 (t-bird's friends house)",2,None,None
"rt. 944",16,None,None
"ross and meredith’s house (zero)",5,None,None
"campsite just past tye river",18,None,None
"the last week!",4,None,None
"silars bald shelter",72,None,None
"little wolf river",2,None,None
"atkins, then",1,None,None
"duncannon hotel (pa)",2,None,None
"off-trail day",8,None,None
"iron bridge over housatonic river",8,None,None
"road trip to pa",3,None,None
"kale gap",8,None,None
"steward hollow brook lean-to",4,None,None
"hendersonville, nc",15,None,None
"campsite just north of the auto rd",2,None,None
"camel gap",4,None,None
"campsite at brown mountain creek",2,None,None
"outskirts of gorham",6,None,None
"groseclose va",2,None,None
"ice water spring shelter",100,None,None
"nc hwy.28,fontana village",3,None,None
"tag runn shelter",1,None,None
"pinegrove furnace park",2,None,None
"brown mtn ceek",1,None,None
"dutch haus",277,None,None
"mountain crossings hostel",5,None,None
"wright's gap, nc 135.7",2,None,None
"st. thomas hostel..vernon",6,None,None
"u.s. 30",88,None,None
"va. 623 (571.2)",22,None,None
"main road - tyringham, ma",10,None,None
"pine grove pa, 501",2,None,None
"laiberty spring tentsite",4,None,None
"1 miles shy of penn 325",4,None,None
"wesser bald",242,35.282497,-83.582451
"grafton notch, hwy. 26",24,None,None
"foxville rd.",1,None,None
"front royal hostel",30,None,None
"photo day",4,None,None
"skyline drive mile marker 65.5 / us 33",12,None,None
"fukkhardt knob shelter va",2,None,None
"stealth tent site 2 m n wind gap pa",11,None,None
"woody gap (hiker hostel)",6,None,None
"trail to humpback rock",4,None,None
"getting ready cont.",2,None,None
"neels gap shelter",2,None,None
"nh 2 (gorham)",10,None,None
"sugerloaf gap",12,None,None
"tenting at no-name spring before pa325",7,None,None
"warren nh",1,None,None
"harpers ferry (wv)",2,None,None
"nashua, n.h.",2,None,None
"fontana shelter",9,None,None
"in the pavilion in pawling, n.y.",6,None,None
"camping at crescent pond",22,None,None
"roan mtn shelter",51,None,None
"along side trail at at mile 1694.1 about 1.5 miles",8,None,None
"cove mt. shelter",106,None,None
"vt. 12/red barn",6,None,None
"neels gap ga",6,None,None
"crossing the kennebec into caratunk",7,None,None
"close but no pizza",4,None,None
"gulf hagas cutoff",80,None,None
"campsite at crawford pond",208,None,None
"rt 4 to hoyt road (ct)",51,None,None
"bear rock stream falls campground, ma",2,None,None
"smart's mountain, nh.",56,None,None
"trent's groceries",9,None,None
"cheshire, ma / ma 8",14,None,None
".6 miles down jarrad gap trail",6,None,None
"tent site north of mount minsi",12,None,None
"manchester center-sutton place",12,None,None
"lion's head, ct",2,None,None
"sabbath day pond shelter",49,None,None
"keefer oak",8,None,None
"vanderventer shelter",104,None,None
"nahmakanto stream campsite",130,None,None
"route 4 (rangeley)",12,None,None
"nantahala (outdoor center) river",2,None,None
"seeley shelter",2,None,None
"watagua dam shelter",1,None,None
"hurd brook lean too",82,None,None
"campsite 1.0 miles s of pa 325",3,None,None
"mp 808.9",2,None,None
"abol bridge, abol pines campsite (tenting)",226,None,None
"blue mnt.shelter",2,None,None
"greymore monastery",2,None,None
"unika mtn.",2,None,None
"roan mt. shelter,tn",5,None,None
"post - haste",4,None,None
"mt. mist vista (2220')",12,None,None
"we will be back!",6,None,None
"mason dixon line, pa",1,None,None
"nashville, tn",54,None,None
"first trail entry",1,None,None
"harrisburg via duncannon",3,None,None
"manchester center/us11",2,None,None
"george outer-bridge shelter",4,None,None
"newfound gap/gatlinberg, tenn",4,None,None
"newport, va",10,None,None
"us #9 / ny 403",4,None,None
"powel gap, skyline drive mile 69.6",9,None,None
"campsite alongside trail at at mile 1297.8",8,None,None
"gilman's rapids campsite on restigouche river",6,None,None
"campsite in tennessee",1,None,None
"guestbook - kitten",1,None,None
"david lessor memorial shelter",23,None,None
"new jersey / new york border",8,None,None
"duncannon,p.a.",1,None,None
"firewarden's cabin, nh",8,None,None
"rausch gap",951,40.49864,-76.60047
"to be added",12,None,None
"mount cammerer observatory tower",2,None,None
"plumb orchard shelter ga",1,None,None
